# Freq(THz)	Branch_1	Branch_2	Branch_3	Total
1.7089	0.495182	0.427748	0.043316	0.966246
1.7124	0.494455	0.428904	0.043656	0.967015
1.7159	0.493735	0.429995	0.044152	0.967882
1.7194	0.493024	0.431016	0.044803	0.968842
1.7229	0.492326	0.431963	0.045602	0.969890
1.7264	0.491644	0.432835	0.046543	0.971022
1.7299	0.490980	0.433635	0.047616	0.972231
1.7334	0.490333	0.434368	0.048810	0.973511
1.7369	0.489703	0.435041	0.050111	0.974855
1.7404	0.489089	0.435663	0.051502	0.976255
1.7439	0.488488	0.436246	0.052966	0.977700
1.7474	0.487895	0.436801	0.054484	0.979180
1.7509	0.487307	0.437342	0.056035	0.980684
1.7544	0.486718	0.437881	0.057597	0.982197
1.7579	0.486124	0.438431	0.059150	0.983705
1.7614	0.485520	0.439002	0.060670	0.985192
1.7649	0.484899	0.439606	0.062136	0.986641
1.7684	0.484259	0.440250	0.063527	0.988035
1.7719	0.483594	0.440941	0.064821	0.989357
1.7754	0.482902	0.441684	0.066001	0.990588
1.7789	0.482182	0.442481	0.067050	0.991713
1.7824	0.481431	0.443331	0.067952	0.992714
1.7859	0.480651	0.444232	0.068695	0.993579
1.7894	0.479842	0.445180	0.069270	0.994292
1.7929	0.479008	0.446167	0.069670	0.994845
1.7964	0.478151	0.447187	0.069891	0.995229
1.7999	0.477276	0.448230	0.069932	0.995439
1.8034	0.476388	0.449287	0.069796	0.995471
1.8069	0.475491	0.450348	0.069489	0.995328
1.8104	0.474590	0.451403	0.069020	0.995013
1.8139	0.473692	0.452442	0.068398	0.994533
1.8174	0.472800	0.453459	0.067640	0.993898
1.8209	0.471918	0.454445	0.066760	0.993122
1.8244	0.471050	0.455395	0.065777	0.992221
1.8279	0.470198	0.456305	0.064710	0.991213
1.8314	0.469363	0.457174	0.063581	0.990119
1.8349	0.468546	0.458002	0.062413	0.988961
1.8384	0.467745	0.458790	0.061226	0.987762
1.8419	0.466958	0.459542	0.060046	0.986546
1.8454	0.466182	0.460264	0.058893	0.985339
1.8489	0.465414	0.460961	0.057791	0.984166
1.8524	0.464648	0.461642	0.056760	0.983050
1.8559	0.463879	0.462315	0.055822	0.982016
1.8594	0.463103	0.462988	0.054996	0.981086
1.8629	0.462314	0.463669	0.054297	0.980281
1.8664	0.461508	0.464367	0.053743	0.979619
1.8699	0.460680	0.465090	0.053347	0.979117
1.8734	0.459828	0.465842	0.053119	0.978789
1.8769	0.458947	0.466630	0.053069	0.978646
1.8804	0.458038	0.467455	0.053202	0.978696
1.8839	0.457100	0.468321	0.053523	0.978943
1.8874	0.456133	0.469225	0.054031	0.979389
1.8909	0.455139	0.470167	0.054724	0.980030
1.8944	0.454122	0.471142	0.055598	0.980862
1.8979	0.453086	0.472144	0.056644	0.981874
1.9015	0.452033	0.473169	0.057852	0.983054
1.9050	0.450970	0.474206	0.059208	0.984384
1.9085	0.449902	0.475249	0.060696	0.985846
1.9120	0.448833	0.476287	0.062297	0.987417
1.9155	0.447768	0.477313	0.063991	0.989072
1.9190	0.446711	0.478318	0.065756	0.990785
1.9225	0.445667	0.479294	0.067566	0.992526
1.9260	0.444636	0.480234	0.069397	0.994267
1.9295	0.443621	0.481133	0.071223	0.995978
1.9330	0.442623	0.481988	0.073018	0.997628
